nome,lat,lon,tipo,capidade,rua,cep,road,suburb,city,state,postcode
,-12.9918618,-38.5205193,parking,,Rua João das Botas,40110-160,Rua João das Botas,Canela,Salvador,Bahia,40110-160
,-12.9817621,-38.4538983,parking,,Rua Frederico Simões,41820-774,Rua Frederico Simões,Caminho das Árvores,Salvador,Bahia,41820-774
,-12.9794346,-38.4514441,parking,,Avenida Tancredo Neves,41770-095,Avenida Tancredo Neves,Caminho das Árvores,Salvador,Bahia,41770-095
,-12.9950605,-38.4546041,parking,,Avenida Paulo VI,41810-105,Avenida Paulo VI,Pituba,Salvador,Bahia,41810-105
,-12.9345057,-38.4407555,parking,,Rua Sussuarana,41213-784,Rua Sussuarana,Sussuarana,Salvador,Bahia,41213-784
,-12.934444,-38.4412812,parking,,Travessa Nossa Senhora das Graças,41213-784,Travessa Nossa Senhora das Graças,Sussuarana,Salvador,Bahia,41213-784
,-12.9346061,-38.4412448,parking,,Avenida Ulisses Guimarães,41213-122,Avenida Ulisses Guimarães,Sussuarana,Salvador,Bahia,41213-122
,39.4801445,-8.5363975,parking,,Travessa do Açude Real,2350-439,Travessa do Açude Real,Salvador,Torres Novas,,2350-439
,39.4821816,-8.5352865,parking,,Terreiro das Tufeiras,2350-754,Terreiro das Tufeiras,Salvador,Torres Novas,,2350-754
,-12.9377457,-38.4130218,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9374234,-38.4123202,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9376859,-38.4130644,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9379042,-38.4137986,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9377667,-38.4136804,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9372026,-38.4125212,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9375978,-38.4129712,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9375701,-38.4132473,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9378437,-38.4137065,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9371922,-38.4125531,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9374362,-38.4126943,parking,,Rua Adalgisa Souza Pinto,41745-130,Rua Adalgisa Souza Pinto,São Rafael,Salvador,Bahia,41745-130
,-12.9980932,-38.4682334,parking,,Avenida Antônio Carlos Magalhães,41830-900,Avenida Antônio Carlos Magalhães,Itaigara,Salvador,Bahia,41830-900
,-12.940596,-38.4068439,parking,,Rua Le Parc,41301-110,Rua Le Parc,Patamares,Salvador,Bahia,41301-110
,-12.997726,-38.4883833,parking,,Rua Waldemar Falcão,40295-010,Rua Waldemar Falcão,Horto Florestal,Salvador,Bahia,40295-010
,40.4439581,-3.6232913,parking,,Plaza de las Olivas,28027,Plaza de las Olivas,San Blas - Canillejas,Madrid,Comunidad de Madrid,28027
,-12.9973345,-38.465003,parking,,Avenida Antônio Carlos Magalhães,41825-000,Avenida Antônio Carlos Magalhães,Itaigara,Salvador,Bahia,41825-000
